"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","shot","minute"
"2044","Golden State Warriors","4/4/17",2016,4,10,33,"n","Jump Shot","2PT Field Goal",3,"Minnesota Timberwolves",28,23,"Klay Thompson","shot no",38
"2045","Golden State Warriors","4/4/17",2016,4,5,47,"n","Jump Shot","3PT Field Goal",23,"Minnesota Timberwolves",-235,-5,"Klay Thompson","shot no",43
"2046","Golden State Warriors","4/4/17",2016,3,9,11,"n","Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",112,228,"Klay Thompson","shot no",27
"2047","Golden State Warriors","12/11/16",2016,4,6,15,"n","Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",123,228,"Klay Thompson","shot no",42
"2048","Golden State Warriors","12/11/16",2016,4,7,42,"y","Jump Shot","2PT Field Goal",13,"Minnesota Timberwolves",-65,120,"Klay Thompson","shot yes",41
"2049","Golden State Warriors","11/13/16",2016,1,5,6,"n","Jump Shot","3PT Field Goal",24,"Phoenix Suns",225,106,"Klay Thompson","shot no",7
"2050","Golden State Warriors","11/13/16",2016,3,6,0,"n","Jump Shot","2PT Field Goal",12,"Phoenix Suns",97,75,"Klay Thompson","shot no",30
"2051","Golden State Warriors","11/13/16",2016,1,10,27,"n","Jump Shot","3PT Field Goal",24,"Phoenix Suns",222,105,"Klay Thompson","shot no",2
"2052","Golden State Warriors","11/13/16",2016,4,3,33,"n","Jump Shot","3PT Field Goal",25,"Phoenix Suns",182,174,"Klay Thompson","shot no",45
"2053","Golden State Warriors","12/11/16",2016,1,10,30,"y","Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",68,232,"Klay Thompson","shot yes",2
"2054","Golden State Warriors","12/11/16",2016,4,0,49,"y","Jump Shot","2PT Field Goal",20,"Minnesota Timberwolves",209,16,"Klay Thompson","shot yes",48
"2055","Golden State Warriors","12/11/16",2016,1,9,13,"n","Jump Shot","2PT Field Goal",5,"Minnesota Timberwolves",-47,26,"Klay Thompson","shot no",3
"2056","Golden State Warriors","12/11/16",2016,1,0,1,"n","Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",22,244,"Klay Thompson","shot no",12
"2057","Golden State Warriors","12/11/16",2016,1,9,56,"y","Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",50,242,"Klay Thompson","shot yes",3
"2058","Golden State Warriors","12/11/16",2016,3,10,50,"n","Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",159,203,"Klay Thompson","shot no",26
"2059","Golden State Warriors","12/11/16",2016,2,1,2,"n","Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",-63,244,"Klay Thompson","shot no",23
"2060","Golden State Warriors","12/11/16",2016,1,6,20,"n","Jump Shot","3PT Field Goal",23,"Minnesota Timberwolves",235,21,"Klay Thompson","shot no",6
"2061","Golden State Warriors","12/11/16",2016,4,6,58,"y","Jump Shot","3PT Field Goal",23,"Minnesota Timberwolves",222,70,"Klay Thompson","shot yes",42
"2062","Golden State Warriors","12/11/16",2016,4,1,19,"n","Jump Shot","3PT Field Goal",23,"Minnesota Timberwolves",218,100,"Klay Thompson","shot no",47
"2063","Golden State Warriors","12/11/16",2016,2,6,55,"n","Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",-176,178,"Klay Thompson","shot no",18
"2064","Golden State Warriors","12/11/16",2016,4,10,46,"y","Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",210,126,"Klay Thompson","shot yes",38
"2065","Golden State Warriors","12/11/16",2016,4,7,45,"n","Jump Shot","2PT Field Goal",16,"Minnesota Timberwolves",-29,159,"Klay Thompson","shot no",41
"2066","Golden State Warriors","12/11/16",2016,2,7,12,"n","Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",40,237,"Klay Thompson","shot no",17
"2067","Golden State Warriors","12/5/16",2016,2,4,59,"n","Jump Shot","3PT Field Goal",28,"Indiana Pacers",-109,267,"Klay Thompson","shot no",20
"2068","Golden State Warriors","10/25/16",2016,2,2,23,"n","Jump Shot","3PT Field Goal",23,"San Antonio Spurs",230,43,"Klay Thompson","shot no",22
"2069","Golden State Warriors","10/25/16",2016,4,9,56,"n","Jump Shot","3PT Field Goal",25,"San Antonio Spurs",-1,252,"Klay Thompson","shot no",39
"2070","Golden State Warriors","10/25/16",2016,3,9,26,"y","Jump Shot","2PT Field Goal",4,"San Antonio Spurs",22,38,"Klay Thompson","shot yes",27
"2071","Golden State Warriors","10/25/16",2016,3,8,31,"n","Jump Shot","3PT Field Goal",26,"San Antonio Spurs",-199,169,"Klay Thompson","shot no",28
"2072","Golden State Warriors","10/25/16",2016,1,5,23,"n","Jump Shot","3PT Field Goal",23,"San Antonio Spurs",-230,-5,"Klay Thompson","shot no",7
"2073","Golden State Warriors","11/21/16",2016,1,8,46,"n","Jump Shot","3PT Field Goal",25,"Indiana Pacers",200,154,"Klay Thompson","shot no",4
"2074","Golden State Warriors","2/1/17",2016,3,9,49,"n","Jump Shot","2PT Field Goal",13,"Charlotte Hornets",132,16,"Klay Thompson","shot no",27
